iter	Logloss
209	0.1283759301
210	0.1283039873
211	0.1282093389
212	0.1281314976
213	0.1280689502
214	0.1280199327
215	0.1279800412
216	0.1279076045
217	0.127842285
218	0.1277215583
219	0.1276347303
220	0.1275200674
221	0.1274240667
222	0.1273738166
223	0.1272374528
224	0.1271480397
225	0.1271069002
226	0.1269996824
227	0.1269374337
228	0.1268336592
229	0.1267832613
230	0.1267419876
231	0.1267030021
232	0.1265612933
233	0.12651232
234	0.1263819218
235	0.1262974674
236	0.1262168016
237	0.1261428639
238	0.1260193522
239	0.1258939603
240	0.1257712528
241	0.1256536899
242	0.125575708
243	0.1255300852
244	0.1254377488
245	0.1253752402
246	0.1253214247
247	0.1251740735
248	0.1251368046
249	0.1250399678
250	0.1249653534
251	0.1248500752
252	0.1247622568
253	0.1246908215
254	0.1246701411
255	0.1246254798
256	0.1245262963
257	0.1244221987
258	0.1243495635
259	0.1242645761
260	0.124207343
261	0.1241459601
262	0.1240959392
263	0.1240050435
264	0.1239330796
265	0.1238861591
266	0.1237821947
267	0.1236721754
268	0.1236231654
269	0.1235794817
270	0.123516172
271	0.1234252906
272	0.1233402167
273	0.1232474593
274	0.1231925852
275	0.1231309986
276	0.1230188503
277	0.1229736475
278	0.1229101719
279	0.1228430322
280	0.1227396427
281	0.1227074371
282	0.1226537459
283	0.122601363
284	0.1224981127
285	0.1224394785
286	0.1223921864
287	0.1223171357
288	0.1222472446
289	0.1222170946
290	0.1221430584
291	0.122056225
292	0.1219761051
293	0.1218926781
294	0.121792328
295	0.1217124305
296	0.121664771
297	0.1215880816
298	0.1215444895
299	0.1215108871
300	0.1214370121
301	0.1213660768
302	0.1212766913
303	0.1212185832
304	0.1211877564
305	0.1211180929
306	0.1210605924
307	0.1210075406
308	0.1209470963
309	0.1208931538
310	0.1207963129
311	0.1206930038
312	0.1206495033
313	0.1205876415
314	0.1205227096
315	0.1204450389
316	0.1203937309
317	0.1203464651
318	0.1202732543
319	0.1202255365
320	0.1201649281
321	0.1200822299
322	0.120015501
323	0.1199508517
324	0.1198434622
325	0.1198084491
326	0.1197262137
327	0.1196799408
328	0.1195845451
329	0.1195203396
330	0.1194696634
331	0.1194177801
332	0.1193570178
333	0.1193545168
334	0.1192777583
335	0.1192127919
336	0.1191402636
337	0.1190482088
338	0.1189567971
339	0.1188745417
340	0.1188146435
341	0.1187916183
342	0.118730012
343	0.1186685647
344	0.1186133044
345	0.1186122717
346	0.1186102414
347	0.1185677648
348	0.1184842791
349	0.1184804651
350	0.1184605053
351	0.1184252565
352	0.118369344
353	0.1183639124
354	0.1182678577
355	0.1182299444
356	0.1181189629
357	0.1179625436
358	0.1178931907
359	0.1178139394
360	0.1177632632
361	0.1176874774
362	0.1176519626
363	0.1175545566
364	0.1174789906
365	0.1174275589
366	0.1173667765
367	0.1173345287
368	0.1172564891
369	0.1171777051
370	0.1170861462
371	0.1170060645
372	0.116955469
373	0.1168708934
374	0.1167881397
375	0.116757712
376	0.1167543905
377	0.1166960692
378	0.1166033925
379	0.1165563992
380	0.1164810528
381	0.1164017538
382	0.1163381628
383	0.1163090607
384	0.1162451332
385	0.1162420593
386	0.116164123
387	0.1161278183
388	0.1161245816
389	0.1160931737
390	0.116028128
391	0.1159838942
392	0.1159810219
393	0.115905181
394	0.1158583202
395	0.1158554299
396	0.1158526826
397	0.1157857231
398	0.1157572191
399	0.1156912804
400	0.1156071908
401	0.1155308877
402	0.1154902656
403	0.1154453983
404	0.1153975422
405	0.1153405029
406	0.1152577063
407	0.1151875104
408	0.115184554
409	0.115159236
410	0.1151114566
411	0.1150473939
412	0.114971196
413	0.1149704875
414	0.1148920362
415	0.1148103421
416	0.1147549186
417	0.1147113105
418	0.1146647402
419	0.1145788101
420	0.1145302773
421	0.1144689087
422	0.1144178598
423	0.1143987434
424	0.1143212601
425	0.1142823277
426	0.1142310105
427	0.1141598262
428	0.1140737646
429	0.1139964441
430	0.1139022871
431	0.1138591777
432	0.1138038622
433	0.1137314292
434	0.1136711819
435	0.1136465996
436	0.113602531
437	0.1135670069
438	0.113548881
439	0.1135075825
440	0.1134360429
441	0.1133541693
442	0.1132896352
443	0.1132438803
444	0.1131904633
445	0.1131451801
446	0.1131424243
447	0.113096559
448	0.1130276036
449	0.1129554745
450	0.1129141256
451	0.1128762242
452	0.1128072248
453	0.1127394918
454	0.1127064303
455	0.1126124447
456	0.1125414562
457	0.1124896203
458	0.1124205542
459	0.1123938567
460	0.1123411894
461	0.1123279677
462	0.1122586788
463	0.11218353
464	0.1121165698
465	0.1120224013
466	0.1119444203
467	0.1118981188
468	0.1118376088
469	0.1118351861
470	0.1118322519
471	0.111787123
472	0.1117136649
473	0.1117112776
474	0.1116478736
475	0.1115972328
476	0.1115390628
477	0.111536918
478	0.1114782136
479	0.1113935396
480	0.1113503126
481	0.111315295
482	0.1112743572
483	0.1112157754
484	0.1111502017
485	0.1111492154
486	0.1111482542
487	0.1111119144
488	0.1110612174
489	0.1109967736
490	0.1109346952
491	0.1108464023
492	0.1107609316
493	0.1107230016
494	0.110653442
495	0.1106056149
496	0.1105443869
497	0.1104876723
498	0.1104849574
499	0.1104359266
500	0.1103736288
501	0.1103099179
502	0.1102676368
503	0.1102040989
504	0.1101588532
505	0.1100928368
506	0.1100585277
507	0.109985966
508	0.1099298647
509	0.1098324796
510	0.1097762765
511	0.1097175871
512	0.1096663247
513	0.1096162851
514	0.1095390838
515	0.1094874672
516	0.1094255372
517	0.1093838256
518	0.1093266623
519	0.1092828195
520	0.1092145126
521	0.1092117844
522	0.1091372524
523	0.109088425
524	0.1090318891
525	0.1089584885
526	0.10891275
527	0.1088723268
528	0.1088703002
529	0.108837173
530	0.1088352074
531	0.1088330933
532	0.1088322251
533	0.1087781109
534	0.1087022172
535	0.108648384
536	0.108590951
537	0.108538661
538	0.1085369277
539	0.1084810921
540	0.1084802559
541	0.108477881
542	0.1084145665
543	0.1083815997
544	0.10835145
545	0.1082698263
546	0.1082690528
547	0.1082144802
548	0.1081898264
549	0.1081890896
550	0.1081212705
551	0.1080570844
552	0.1080050734
553	0.1079456782
554	0.1078958838
555	0.1078187803
556	0.1077596865
557	0.1076838183
558	0.1076596291
559	0.107611587
560	0.1075471793
561	0.1075118433
562	0.1074859163
563	0.1074469045
564	0.1074019074
565	0.1073387497
566	0.1072869338
567	0.1072560774
568	0.1072540658
569	0.1072521765
570	0.1071893522
571	0.1071821277
572	0.1071356327
573	0.1070960603
574	0.1070634031
575	0.1070189353
576	0.1069646706
577	0.1069102584
578	0.106862296
579	0.1067935613
580	0.1067608544
581	0.1067225208
582	0.1066574601
583	0.1066549366
584	0.1065947992
585	0.1065592667
586	0.1064952169
587	0.106438522
588	0.1063606627
589	0.1063589423
590	0.1063124013
591	0.1062704917
592	0.1061851304
593	0.1061433724
594	0.1061415332
595	0.1060844462
596	0.1060235
597	0.1059702325
598	0.1059186135
599	0.1058772448
600	0.1058082717
601	0.1057634347
602	0.1057369607
603	0.1056799603
604	0.105666462
605	0.1056189806
606	0.105576522
607	0.1055401278
608	0.1055229878
609	0.1054883371
610	0.1054053416
611	0.1053305909
612	0.1052873084
613	0.1052225753
614	0.1051870026
615	0.105154173
616	0.1051128449
617	0.105040929
618	0.1049725533
619	0.1049217197
620	0.1048569689
621	0.104818495
622	0.1047658787
623	0.1047234532
624	0.1046937326
625	0.1046374161
626	0.1045936877
627	0.1045280491
628	0.104505949
629	0.1044714631
630	0.1044328346
631	0.104376016
632	0.1042999312
633	0.1042572699
634	0.1042157698
635	0.104180194
636	0.1041481195
637	0.1040997069
638	0.1040535263
639	0.1040121014
640	0.1039487587
641	0.1039079114
642	0.1038762648
643	0.1038205784
644	0.1037739093
645	0.1037171139
646	0.1036596659
647	0.103617052
648	0.1035773642
649	0.1035276948
650	0.1034830219
651	0.1034012839
652	0.1033626655
653	0.1033225305
654	0.1032789108
655	0.1032330387
656	0.1031995198
657	0.1031505176
658	0.1030840468
659	0.1030106623
660	0.1029582105
661	0.1029064931
662	0.1028509603
663	0.1027955842
664	0.1027428269
665	0.1026774015
666	0.1026160468
667	0.1025493874
668	0.1024785015
669	0.1024318521
670	0.1024027886
671	0.102336906
672	0.1022881355
673	0.1022176385
674	0.1021706755
675	0.102071866
676	0.1020357697
677	0.1019515194
678	0.1018917128
679	0.1018376105
680	0.1018016873
681	0.1017701251
682	0.1017358133
683	0.1017264897
684	0.101680666
685	0.1016253393
686	0.1015851821
687	0.101546777
688	0.1014770876
689	0.1014349403
690	0.1013947872
691	0.1013435364
692	0.1013099142
693	0.101259956
694	0.1012225219
695	0.1011669585
696	0.1010864888
697	0.1010438623
698	0.1010106891
699	0.1009691497
700	0.100921979
701	0.1008779168
702	0.1008426932
703	0.1008224021
704	0.1008068323
705	0.1007223344
706	0.100689044
707	0.1006500435
708	0.1006221989
709	0.1005915475
710	0.1005609727
711	0.1005051715
712	0.1004778355
713	0.1004344412
714	0.1003521385
715	0.1002862188
716	0.100254428
717	0.1002375851
718	0.1001910462
719	0.1001078081
720	0.1000728113
721	0.1000437433
722	0.1000078334
723	0.0999796067
724	0.09990055629
725	0.09984163318
726	0.0997967611
727	0.09974786009
728	0.09970601116
729	0.0996520349
730	0.09962072645
731	0.09959274496
732	0.09955759491
733	0.0995132293
734	0.09946888617
735	0.0994172975
736	0.09938249963
737	0.09931641579
738	0.09928641319
739	0.09924449512
740	0.09922114236
741	0.09920657056
742	0.09920528616
743	0.09915550402
744	0.09911360604
745	0.09906590087
746	0.09899394887
747	0.09897049529
748	0.09894693545
749	0.09891797679
750	0.09889120783
751	0.0988433562
752	0.09881883962
753	0.0987797308
754	0.09875605243
755	0.09869865315
756	0.09865053483
757	0.09859341655
758	0.09852501052
759	0.09848641838
760	0.09841653551
761	0.0983614145
762	0.09833262444
763	0.09826547997
764	0.09825655767
765	0.09822992018
766	0.098182449
767	0.09812194926
768	0.09807781969
769	0.09804410355
770	0.09800798484
771	0.09797685112
772	0.09794144324
773	0.09794026136
774	0.09790409292
775	0.09786953211
776	0.09781081813
777	0.09776332719
778	0.09772910152
779	0.0976744771
780	0.09764421531
781	0.09761523042
782	0.09754749911
783	0.09751622575
784	0.09745903594
785	0.09744540862
786	0.09739488874
787	0.09734509604
788	0.09734394653
789	0.09729992935
790	0.09724892684
791	0.09717569351
792	0.09714413609
793	0.09710819687
794	0.09705445971
795	0.09698872702
796	0.09694697278
797	0.09690704312
798	0.0968738028
799	0.096840743
800	0.09679397855
801	0.0967516395
802	0.09670336791
803	0.09666936295
804	0.09662472555
805	0.09659348863
806	0.09656530448
807	0.09650622913
808	0.09646220786
809	0.09636810984
810	0.09634237051
811	0.09631648949
812	0.09626677411
813	0.09623537677
814	0.09617170572
815	0.09608486755
816	0.09602214234
817	0.09599756036
818	0.09596876757
819	0.0959242395
820	0.09589296477
821	0.09581587281
822	0.09581469774
823	0.09579392433
824	0.09572174243
825	0.0956621136
826	0.09563626323
827	0.09558547463
828	0.09554038491
829	0.09550449235
830	0.09543901171
831	0.09537072693
832	0.09532862118
833	0.09530517408
834	0.09526720898
835	0.0952123751
836	0.09516486168
837	0.09513270957
838	0.09507202387
839	0.09504542759
840	0.09497503417
841	0.09491175856
842	0.09483507054
843	0.09481268167
844	0.0947893531
845	0.09475687027
846	0.09473212617
847	0.09466722114
848	0.09461732558
849	0.09457887922
850	0.0945281618
851	0.09446678741
852	0.09443783862
853	0.09436734438
854	0.09430533103
855	0.09427153826
856	0.09420733758
857	0.09415277788
858	0.09412427902
859	0.0940570443
860	0.09403290408
861	0.09398798295
862	0.09398205076
863	0.09396036046
864	0.09392552274
865	0.09389581306
866	0.09385642494
867	0.09382544143
868	0.09377038377
869	0.09374211482
870	0.09369654383
871	0.09366992405
872	0.09362527915
873	0.09356353555
874	0.09353724446
875	0.0935022194
876	0.09345889977
877	0.09338164568
878	0.09333800861
879	0.0932817861
880	0.09323943887
881	0.09320355007
882	0.09317315851
883	0.0931183379
884	0.0930763575
885	0.09304311718
886	0.09301691839
887	0.09294894082
888	0.09290168115
889	0.09287076916
890	0.0928078757
891	0.09278395925
892	0.09274748223
893	0.09273645197
894	0.09268257652
895	0.09264832633
896	0.09261100599
897	0.09254791226
898	0.0925040354
899	0.09245809385
900	0.09241472176
901	0.09237866742
902	0.09234494277
903	0.09229344334
904	0.09224854503
905	0.09223111459
906	0.09221211127
907	0.09218544279
908	0.09213541474
909	0.09208147287
910	0.09204889025
911	0.09201656614
912	0.09199662174
913	0.09196656602
914	0.09193426711
915	0.09187883513
916	0.09182647841
917	0.09180159807
918	0.09180008854
919	0.09177174977
920	0.09177149602
921	0.09174687351
922	0.09168297734
923	0.09165387699
924	0.09160967929
925	0.09158521652
926	0.09154603345
927	0.09145841564
928	0.09141789368
929	0.09138234104
930	0.09132191045
931	0.09130310093
932	0.0912515923
933	0.09122713668
934	0.09122225557
935	0.09119008337
936	0.09115106923
937	0.09112165076
938	0.09107429709
939	0.09101420096
940	0.09099810702
941	0.09096407141
942	0.09090731178
943	0.09086756502
944	0.09081589222
945	0.09075725487
946	0.09071394444
947	0.09066491468
948	0.09063345977
949	0.09060338123
950	0.0905811974
951	0.09055863721
952	0.09052161796
953	0.09049946172
954	0.09049617325
955	0.09045018128
956	0.09042598248
957	0.09037862812
958	0.09035253184
959	0.09027306012
960	0.09022210496
961	0.09019718681
962	0.09012474367
963	0.0901082795
964	0.09009267024
965	0.09002610513
966	0.08999067545
967	0.08992297956
968	0.08987675701
969	0.08982696533
970	0.08978708948
971	0.08976789815
972	0.08972502777
973	0.08970843077
974	0.08967660359
975	0.0896464123
976	0.08960141965
977	0.08955639873
978	0.08952448164
979	0.0894454142
980	0.08943974938
981	0.08941105911
982	0.08936784301
983	0.08930057287
984	0.08924781765
985	0.08922026123
986	0.08920639208
987	0.08916598933
988	0.08912867989
989	0.08908868483
990	0.08906340429
991	0.08904000759
992	0.08901587146
993	0.08900181532
994	0.08899868522
995	0.08896738359
996	0.08896447897
997	0.08890934501
998	0.08885586091
999	0.0888160164
